Menu,Allergens,Ingredients,Calories
김치볶음밥,"계란, 돼지고기, 대두, 마늘, 양파, 고추","밥, 김치, 돼지고기, 대파, 마늘, 양파, 식용유, 계란, 참기름, 김가루",약 700 kcal
치킨마요덮밥,"닭고기, 계란, 대두, 마늘, 양파","밥, 닭고기, 마요네즈, 간장, 설탕, 식초, 김가루, 대파, 참기름",약 800 kcal
등심돈까스,"계란, 돼지고기, 대두, 마늘, 밀, 유제품","돼지고기, 밀가루, 달걀, 빵가루, 식용유, 소금, 후추",약 850 kcal
오므라이스,"계란, 돼지고기, 대두, 마늘, 양파","밥, 계란, 닭고기, 양파, 당근, 그린피스, 식용유, 케첩",약 750 kcal
닭강정,"닭고기, 대두, 마늘, 밀, 양파","닭고기, 감자전분, 달걀, 간장, 설탕, 고추장, 마늘, 물엿",약 900 kcal
굴소스볶음밥,"굴, 대두, 마늘, 양파","밥, 돼지고기, 굴소스, 간장, 대파, 마늘, 양파, 식용유",약 750 kcal
치킨까스,"계란, 닭고기, 대두, 마늘, 밀","닭고기, 밀가루, 달걀, 빵가루, 식용유, 소금, 후추",약 800 kcal
소고기쌀국수,"소고기, 대두, 어패류, 마늘, 양파","쌀, 소고기, 숙주, 양파, 대파, 고수, 라임, 육수, 계피, 팔각, 정향",약 600 kcal
탕수육,"계란, 돼지고기, 대두, 마늘, 밀","돼지고기, 감자전분, 밀가루, 달걀, 설탕, 식초, 간장, 파인애플, 당근, 오이",약 950 kcal
참치마요덮밥,"계란, 대두, 마늘, 양파, 참치","밥, 참치캔, 마요네즈, 간장, 설탕, 김가루, 대파",약 750 kcal
떡볶이,"고추, 대두, 마늘, 밀","떡, 고추장, 설탕, 간장, 물엿, 어묵, 대파, 마늘, 다시마육수",약 600 kcal
제주고기국수,"계란, 돼지고기, 대두, 마늘, 밀, 양파","밀가루, 돼지고기, 멸치육수, 다시마, 무, 대파, 마늘, 소금, 후추",약 700 kcal
함박스테이크,"계란, 돼지고기, 대두, 마늘, 밀, 소고기, 유제품, 양파","소고기, 돼지고기, 양파, 빵가루, 달걀, 우유, 소금, 후추, 버터, 토마토소스",약 850 kcal
수육국밥,"돼지고기, 대두, 마늘, 양파","돼지고기, 밥, 멸치육수, 대파, 마늘, 된장, 소금, 후추, 김치",약 750 kcal
떡만두국,"계란, 돼지고기, 대두, 마늘, 밀","떡, 만두, 멸치육수, 다시마, 계란, 김가루, 대파, 소금, 후추",약 700 kcal
김치국수,"고추, 대두, 마늘, 밀, 양파","밀가루, 김치, 멸치육수, 대파, 김가루, 간장, 고춧가루",약 650 kcal
부대찌개,"계란, 돼지고기, 대두, 마늘, 밀, 소고기, 햄, 소시지, 고추, 양파","햄, 소시지, 김치, 두부, 라면, 양파, 대파, 마늘, 고추, 고추장, 된장, 멸치육수",약 900 kcal
치즈돈까스,"계란, 돼지고기, 대두, 마늘, 밀, 치즈","돼지고기, 치즈, 밀가루, 달걀, 빵가루, 식용유, 소금, 후추",약 900 kcal
갈릭오일파스타,"대두, 마늘, 밀, 유제품","스파게티면, 마늘, 올리브오일, 소금, 후추, 파슬리",약 700 kcal
가츠동,"계란, 돼지고기, 대두, 마늘, 밀, 양파","밥, 돼지고기, 계란, 양파, 간장, 설탕, 다시육수, 대파",약 850 kcal
제육볶음,"돼지고기, 대두, 마늘, 고추, 양파","돼지고기, 고추장, 간장, 설탕, 마늘, 대파, 양파, 참기름, 깨소금",약 800 kcal
육개장,"소고기, 대두, 마늘, 고추, 양파","소고기, 고사리, 대파, 마늘, 고춧가루, 숙주, 간장, 소금, 후추",약 650 kcal
마라탕,"소고기, 어패류, 대두, 마늘, 고추, 양파","고기, 두부, 야채, 버섯, 마라소스, 고추, 마늘, 향신료",약 800 kcal
마파두부덮밥,"돼지고기, 대두, 마늘, 고추, 양파","밥, 두부, 다진 돼지고기, 마늘, 대파, 고추기름, 된장, 간장, 고춧가루",약 750 kcal
잔치국수,"계란, 대두, 밀","밀가루, 멸치육수, 애호박, 계란지단, 김가루, 파, 간장",약 600 kcal
불고기,"소고기, 대두, 마늘, 양파","소고기, 간장, 설탕, 배즙, 마늘, 참기름, 깨소금, 대파, 후추",약 750 kcal
후라이드치킨,"계란, 닭고기, 대두, 마늘, 밀","닭고기, 밀가루, 감자전분, 달걀, 식용유, 소금, 후추",약 900 kcal
치킨스테이크,"닭고기, 대두, 마늘, 양파","닭고기, 간장, 설탕, 마늘, 대파, 후추, 올리브오일",약 700 kcal
닭갈비,"닭고기, 대두, 마늘, 고추, 양파","닭고기, 고추장, 간장, 설탕, 고춧가루, 마늘, 양파, 떡, 깻잎",약 850 kcal
로제파스타,"대두, 마늘, 밀, 토마토, 유제품, 양파","파스타면, 크림, 토마토소스, 마늘, 양파, 소금, 후추, 치즈",약 800 kcal
